model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
cosyvoice2,wr_very_t1_k01,0,word_rep,t1,1,1,11,very,11,3.84,1,0.09108290821313858,0.04017120227217674,0.07475,0.18960751593112946,96,False,1,3.984444444444446,0.9637479085331841,True,1,correct,1,THE DOG WAS VERY BIG AND IT RAN ACROSS THE FIELD
cosyvoice2,wr_very_t1_k02,0,word_rep,t1,2,2,12,very,12,4.48,2,0.09802861511707306,0.031119169667363167,0.14670833333333333,0.2334185540676117,112,False,2,4.524444444444446,0.9901768172888014,True,2,correct,1,THE DOG WAS VERY VERY BIG AND IT RAN ACROSS THE FIELD
cosyvoice2,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,9,3.88,2,0.09851901233196259,0.029367461800575256,0.052875,0.2536686956882477,97,False,2,3.8666666666666676,1.0034482758620686,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k02,1,control_word,t4,2,2,9,blue,9,3.6,2,0.09622827172279358,0.033313315361738205,0.07054166666666667,0.49888619780540466,90,False,2,3.8666666666666676,0.9310344827586204,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k02,2,control_word,t4,2,2,9,blue,9,4.12,2,0.08397240936756134,0.04230120778083801,0.09470833333333334,0.5113296508789062,103,False,2,3.8666666666666676,1.0655172413793101,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,5.04,3,0.08029839396476746,0.03911098465323448,0.09275,0.3265763223171234,126,False,3,4.940000000000001,1.0202429149797567,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k03,1,control_word,t4,3,3,10,blue,10,4.08,2,0.0880500078201294,0.055233269929885864,0.06129166666666667,0.188974529504776,102,False,2,4.940000000000001,0.8259109311740889,True,2,undercount,0,THE LIGHT WAS GREE BRIGHT PALE BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k03,2,control_word,t4,3,3,10,blue,10,4.84,3,0.10089902579784393,0.04296068474650383,0.014375,0.31837213039398193,121,False,3,4.940000000000001,0.9797570850202426,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,5.44,4,0.08487760275602341,0.04404540732502937,0.14316666666666666,0.25684216618537903,136,False,3,6.013333333333334,0.9046563192904656,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k04,1,control_word,t4,4,4,11,blue,11,5.48,4,0.08745728433132172,0.02737339586019516,0.054,0.29871851205825806,137,False,4,6.013333333333334,0.9113082039911309,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k04,2,control_word,t4,4,4,11,blue,11,6.36,4,0.09410584717988968,0.042622651904821396,0.03325,0.14224892854690552,159,False,4,6.013333333333334,1.057649667405765,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,13,7.24,6,0.09633886814117432,0.03287362679839134,0.11379166666666667,0.35689303278923035,181,False,5,8.16,0.8872549019607843,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
cosyvoice2,ct_blue_t4_k06,1,control_word,t4,6,6,13,blue,13,7.36,6,0.09965686500072479,0.05170389264822006,0.12925,0.44539278745651245,184,False,5,8.16,0.9019607843137255,True,6,correct,1,THE LIKE WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
