model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
xtts2es,ct_azul_et4_k02,0,control_word,et4,2,2,9,azul,9,2.5493333333333332,2,0.13737772405147552,0.016911502927541733,0.12633333333333333,0.2189011573791504,54,False,2,2.734222222222222,0.9323797139141743,True,2,correct,1,la luz era verde blanca antes de la tormenta
xtts2es,ct_azul_et4_k02,1,control_word,et4,2,2,9,azul,9,2.965333333333333,2,0.1432771533727646,0.022030506283044815,0.154625,0.2887714207172394,63,False,2,2.734222222222222,1.0845253576072822,True,2,correct,1,la luz era verde blanca antes de la tormenta
xtts2es,ct_azul_et4_k02,2,control_word,et4,2,2,9,azul,9,2.688,2,0.14534470438957214,0.0173325315117836,0.14525,0.18810170888900757,57,False,2,2.734222222222222,0.9830949284785437,True,2,correct,1,la luz era verde blanca antes de la tormenta
xtts2es,ct_azul_et4_k03,0,control_word,et4,3,3,10,azul,10,3.1573333333333333,3,0.13569054007530212,0.032007865607738495,0.152875,0.21624590456485748,67,False,3,3.203555555555555,0.9855715871254164,True,3,correct,1,la luz era verde blanca clara antes de la tormenta
xtts2es,ct_azul_et4_k03,1,control_word,et4,3,3,10,azul,10,3.1573333333333333,3,0.13492000102996826,0.017041465267539024,0.151,0.3239739239215851,67,False,3,3.203555555555555,0.9855715871254164,True,3,correct,1,la luz era verde blanca clara antes de la tormenta
xtts2es,ct_azul_et4_k03,2,control_word,et4,3,3,10,azul,10,3.296,3,0.14835429191589355,0.022825241088867188,0.2005,0.24318115413188934,70,False,3,3.203555555555555,1.0288568257491677,True,3,correct,1,la luz era verde blanca clara antes de la tormenta
xtts2es,ct_azul_et4_k04,0,control_word,et4,4,4,11,azul,11,3.616,4,0.14433108270168304,0.014780211262404919,0.14145833333333332,0.33923229575157166,77,False,4,3.6728888888888886,0.984511132623427,True,4,correct,1,la luz era verde blanca clara tenue antes de la tormenta
xtts2es,ct_azul_et4_k04,1,control_word,et4,4,4,11,azul,11,4.085333333333334,4,0.1370757520198822,0.033871449530124664,0.14745833333333333,0.22924348711967468,87,False,5,3.6728888888888886,1.112294288480155,True,4,correct,1,la luz era verde blanca clara tenue antes de la tormenta
xtts2es,ct_azul_et4_k04,2,control_word,et4,4,4,11,azul,11,3.2426666666666666,4,0.13616254925727844,0.017968425527215004,0.12979166666666667,0.3405405282974243,69,False,3,3.6728888888888886,0.8828654404646661,True,4,correct,1,la luz era verde blanca clara tenue antes de la tormenta
xtts2es,ct_azul_et4_k06,0,control_word,et4,6,6,13,azul,13,4.362666666666667,6,0.13661794364452362,0.023487165570259094,0.143625,0.3617795705795288,93,False,5,4.611555555555555,0.946029298380879,True,6,correct,1,la luz era verde blanca clara tenue suave gris antes de la tormenta
xtts2es,ct_azul_et4_k06,1,control_word,et4,6,6,13,azul,13,4.544,6,0.13866417109966278,0.027351120486855507,0.18083333333333335,0.2409813404083252,97,False,6,4.611555555555555,0.9853508095605242,True,6,correct,1,la luz era verde blanca clara tenue suave gris antes de la tormenta
xtts2es,ct_azul_et4_k06,2,control_word,et4,6,6,13,azul,13,4.736,5,0.14683543145656586,0.026398930698633194,0.20045833333333332,0.2948729693889618,101,False,6,4.611555555555555,1.0269853508095605,True,5,undercount,0,la luz hera verde blanca clara tenues suave gris antes de la tormenta
xtts2es,ct_azul_et4_k08,0,control_word,et4,8,8,15,azul,15,5.888,7,0.13816408812999725,0.03488454595208168,0.143875,0.2571752369403839,126,False,9,5.550222222222223,1.0608584240871235,False,9,undercount,0,la luz era verde blanca clara tenue suave gris rosa opacaant ntes de la tormenta
xtts2es,ct_azul_et4_k08,1,control_word,et4,8,8,15,azul,17,5.706666666666667,6,0.13219593465328217,0.03266231715679169,0.14916666666666667,0.20720309019088745,122,False,8,5.550222222222223,1.028187059577194,False,8,undercount,0,la luz era verde blanca yclara tenues suave gris rosa opaca antes de la de la tormenta
xtts2es,ct_azul_et4_k08,2,control_word,et4,8,8,15,azul,15,6.176,7,0.1454838663339615,0.029047949239611626,0.188875,0.18117350339889526,132,False,9,5.550222222222223,1.1127482383087763,False,9,undercount,0,la luz era verde blanca clara tenues suave gris rosa opaca ntes de la tormenta
xtts2es,ct_azul_et4_k12,0,control_word,et4,12,12,19,azul,20,7.701333333333333,4,0.13720189034938812,0.024434490129351616,0.13604166666666667,0.20342829823493958,165,False,13,7.427555555555555,1.0368597415031116,False,13,undercount,0,la luz era verde blanca clara tenues suave gris rosa opaca verde e blanca clara tenue antes de la tormenta
xtts2es,ct_azul_et4_k12,1,control_word,et4,12,12,19,azul,33,12.117333333333333,4,0.13759294152259827,0.032737549394369125,0.15516666666666667,0.2437007874250412,260,False,22,7.427555555555555,1.6314025849688847,False,22,loop,0,la luz era verde blanca clara tenues suave gris rosa o paca verde de blanca clara tenue antes de la tormentamil nombre nanbastone buenborieno acen conoce nos pone ua antes de la tormenta
xtts2es,ct_azul_et4_k12,2,control_word,et4,12,12,19,azul,19,8.96,12,0.14120551943778992,0.027020856738090515,0.18458333333333332,0.15706442296504974,192,False,15,7.427555555555555,1.206318812829105,False,15,correct,1,la luz era verde blanca clara tenue suave gris rosa opaca verde blanca clara tenue antes de la tormenta
xtts2es,ct_azul_et4_k16,0,control_word,et4,16,16,23,azul,24,10.165333333333333,14,0.1341598480939865,0.03150079399347305,0.15820833333333334,0.22117222845554352,218,False,18,9.30488888888889,1.0924722965227358,False,18,undercount,0,la luz era verde blanca clara tenue suave gris rosa opaca verde erde blanca clara tenuesoave gris rosa opaca antes de la tormenta nta
xtts2es,ct_azul_et4_k16,1,control_word,et4,16,16,23,azul,23,11.274666666666667,7,0.1318010687828064,0.04255451261997223,0.14504166666666668,0.16404643654823303,242,False,20,9.30488888888889,1.2116927779900648,False,20,undercount,0,la luz era verde blanca clara tenue suave gris rosaopaca verde blanca clara tenoes suave gris rosa op vaca antes de la tormenta
xtts2es,ct_azul_et4_k16,2,control_word,et4,16,16,23,azul,43,16.992,11,0.1328813135623932,0.03332239016890526,0.16083333333333333,0.15247610211372375,365,False,32,9.30488888888889,1.826136797860145,False,32,loop,0,la luz era verde blanca clara tenues suave gris rosa opaca verde blanca clara tenue suave gris rosa opaca antes de la sde la tormenta come un ken con con et cueno fue suave gris rosa osa o paca antes de la tormenta
xtts2es,ct_azul_et4_k24,0,control_word,et4,24,24,31,azul,39,24.373333333333335,9,0.12481625378131866,0.046473223716020584,0.22495833333333334,0.16959825158119202,524,False,48,13.059555555555557,1.8663218077865504,False,48,loop,0,la luz era verde blanca clara tenue suave gris rosao opaca verde blanca clara tenue suave gris rosao opaca verde  blanca clara tenue suave grisros rosa ovacaantes de la tormenta zos randas de lanermuro con plenohuentes deguare suave gris
xtts2es,ct_azul_et4_k24,1,control_word,et4,24,24,31,azul,33,18.666666666666668,15,0.1109071746468544,0.04902463033795357,0.159625,0.2184634506702423,401,False,36,13.059555555555557,1.429349305744623,False,36,undercount,0,la luz era verde blanca clara tenue suave gris rosa opacaverde blanc blanca clara tenoes suave gris rosa opaca verde blanca clara tno a tenoes suave gris rosa opaca antes de la tormenta
xtts2es,ct_azul_et4_k24,2,control_word,et4,24,24,31,azul,30,16.85333333333333,15,0.1250213384628296,0.03576132282614708,0.15716666666666668,0.18463316559791565,362,False,32,13.059555555555557,1.2904982303294308,False,32,undercount,0,la luz era verde blanca clara tenues suave gris rosa opaca verde blancaclara tenue suave gris rosa opaca verde blanca clara tenue suave gris rosao opaca antes de la tormenta
xtts2es,ct_azul_et4_k32,0,control_word,et4,32,32,39,azul,58,25.077333333333332,8,0.12756787240505219,0.04438389092683792,0.12141666666666667,0.19841840863227844,539,False,50,16.814222222222224,1.4914358215267496,False,50,undercount,0,la luz era verde blanca clara tenue suave gris rosa o paca verde verde blanca claratenue suave gris rosa o pasca verdebl e blanca clara tenue suave gris rosa o paca verde blan blanca clara tenues suave gris  rosa o paca antes de la tor la tormenta cano es suave gris rosa opaca antes de la tormenta nta
xtts2es,ct_azul_et4_k32,1,control_word,et4,32,32,39,azul,40,19.36,15,0.13278745114803314,0.03505268692970276,0.11779166666666667,0.16138696670532227,416,False,37,16.814222222222224,1.1514062169591879,False,37,undercount,0,la luz era verde blanca clara tenue suave gris rosaopaca ca verde blanca clara tenues suave gris rosa opaca verde blanca cara tenue suave gris rosa opaca verde blanco lanca clara tenues suave gris rosa opaca antes de la tormenta
xtts2es,ct_azul_et4_k32,2,control_word,et4,32,32,39,azul,44,22.421333333333333,7,0.12828457355499268,0.03238498046994209,0.13141666666666665,0.13315452635288239,482,False,44,16.814222222222224,1.33347430746458,False,44,undercount,0,la luz era verde blanca clara tenues suave gris rosa opaca verde verde blanca clara tenu es suave gris rosa opaca verde de blanca clara tenue suave grisrosa op opaca verde blanca clara teno es suave  gris rosa sa ovaca antes de la tormenta
xtts2es,ct_lejos_et3_k02,0,control_word,et3,2,2,10,lejos,10,3.104,2,0.15382599830627441,0.023969609290361404,0.170375,0.17638154327869415,66,False,2,3.104000000000001,0.9999999999999997,True,2,correct,1,el camino hondo cerca en el bosque antes de volver
xtts2es,ct_lejos_et3_k02,1,control_word,et3,2,2,10,lejos,9,2.688,1,0.15161609649658203,0.026545636355876923,0.15704166666666666,0.25193294882774353,57,False,1,3.104000000000001,0.8659793814432988,True,1,undercount,0,el camino hondo cercan el bosque antes de volver
xtts2es,ct_lejos_et3_k02,2,control_word,et3,2,2,10,lejos,9,3.296,1,0.14362961053848267,0.03409607335925102,0.20366666666666666,0.19910606741905212,70,False,2,3.104000000000001,1.0618556701030923,True,1,undercount,0,el camino hondo cercan el bosque antes de volver
