model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
f5tts,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,9,2.944,2,nan,nan,nan,nan,-1,False,2,2.944,1.0,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k02,1,control_word,t4,2,2,9,blue,9,2.944,2,nan,nan,nan,nan,-1,False,2,2.944,1.0,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k02,2,control_word,t4,2,2,9,blue,9,2.944,2,nan,nan,nan,nan,-1,False,2,2.944,1.0,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,3.2213333333333334,3,nan,nan,nan,nan,-1,False,3,3.221333333333333,1.0000000000000002,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k03,1,control_word,t4,3,3,10,blue,10,3.2213333333333334,3,nan,nan,nan,nan,-1,False,3,3.221333333333333,1.0000000000000002,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k03,2,control_word,t4,3,3,10,blue,10,3.2213333333333334,3,nan,nan,nan,nan,-1,False,3,3.221333333333333,1.0000000000000002,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,3.445333333333333,4,nan,nan,nan,nan,-1,False,4,3.498666666666667,0.9847560975609755,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k04,1,control_word,t4,4,4,11,blue,11,3.445333333333333,4,nan,nan,nan,nan,-1,False,4,3.498666666666667,0.9847560975609755,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k04,2,control_word,t4,4,4,11,blue,11,3.445333333333333,4,nan,nan,nan,nan,-1,False,4,3.498666666666667,0.9847560975609755,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,13,4.021333333333334,6,nan,nan,nan,nan,-1,False,6,4.053333333333333,0.9921052631578949,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k06,1,control_word,t4,6,6,13,blue,13,4.021333333333334,6,nan,nan,nan,nan,-1,False,6,4.053333333333333,0.9921052631578949,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k06,2,control_word,t4,6,6,13,blue,13,4.021333333333334,6,nan,nan,nan,nan,-1,False,6,4.053333333333333,0.9921052631578949,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k08,0,control_word,t4,8,8,15,blue,15,4.64,7,nan,nan,nan,nan,-1,False,8,4.6080000000000005,1.0069444444444442,True,7,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARPS SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k08,1,control_word,t4,8,8,15,blue,15,4.64,8,nan,nan,nan,nan,-1,False,8,4.6080000000000005,1.0069444444444442,True,8,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k08,2,control_word,t4,8,8,15,blue,15,4.64,8,nan,nan,nan,nan,-1,False,8,4.6080000000000005,1.0069444444444442,True,8,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k12,0,control_word,t4,12,12,19,blue,19,5.898666666666666,12,nan,nan,nan,nan,-1,False,13,5.717333333333333,1.0317164179104477,True,12,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k12,1,control_word,t4,12,12,19,blue,19,5.898666666666666,12,nan,nan,nan,nan,-1,False,13,5.717333333333333,1.0317164179104477,True,12,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k12,2,control_word,t4,12,12,19,blue,19,5.898666666666666,12,nan,nan,nan,nan,-1,False,13,5.717333333333333,1.0317164179104477,True,12,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k16,0,control_word,t4,16,16,23,blue,23,7.082666666666666,8,nan,nan,nan,nan,-1,False,17,6.826666666666667,1.0374999999999999,False,17,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARPS SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k16,1,control_word,t4,16,16,23,blue,23,7.082666666666666,16,nan,nan,nan,nan,-1,False,17,6.826666666666667,1.0374999999999999,True,16,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k16,2,control_word,t4,16,16,23,blue,23,7.082666666666666,16,nan,nan,nan,nan,-1,False,17,6.826666666666667,1.0374999999999999,True,16,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k24,0,control_word,t4,24,24,31,blue,31,9.525333333333334,16,nan,nan,nan,nan,-1,False,26,9.045333333333334,1.0530660377358492,False,26,undercount,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARPS SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k24,1,control_word,t4,24,24,31,blue,31,9.525333333333334,24,nan,nan,nan,nan,-1,False,26,9.045333333333334,1.0530660377358492,True,24,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k24,2,control_word,t4,24,24,31,blue,31,9.525333333333334,24,nan,nan,nan,nan,-1,False,26,9.045333333333334,1.0530660377358492,True,24,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k32,0,control_word,t4,32,32,39,blue,39,11.968,32,nan,nan,nan,nan,-1,False,35,11.264000000000001,1.0625,True,32,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k32,1,control_word,t4,32,32,39,blue,39,11.968,32,nan,nan,nan,nan,-1,False,35,11.264000000000001,1.0625,True,32,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
f5tts,ct_blue_t4_k32,2,control_word,t4,32,32,39,blue,39,11.968,32,nan,nan,nan,nan,-1,False,35,11.264000000000001,1.0625,True,32,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
