model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
f5fix,wr_blue_t4_k06,0,word_rep,t4,6,6,13,blue,13,4.362666666666667,6,nan,nan,nan,nan,-1,False,,nan,nan,True,6,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k06,1,word_rep,t4,6,6,13,blue,13,4.362666666666667,6,nan,nan,nan,nan,-1,False,,nan,nan,True,6,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k06,2,word_rep,t4,6,6,13,blue,13,4.362666666666667,6,nan,nan,nan,nan,-1,False,,nan,nan,True,6,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k08,0,word_rep,t4,8,8,15,blue,15,4.992,8,nan,nan,nan,nan,-1,False,,nan,nan,True,8,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k08,1,word_rep,t4,8,8,15,blue,15,4.992,8,nan,nan,nan,nan,-1,False,,nan,nan,True,8,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k08,2,word_rep,t4,8,8,15,blue,15,4.992,8,nan,nan,nan,nan,-1,False,,nan,nan,True,8,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k12,0,word_rep,t4,12,12,19,blue,18,6.293333333333333,11,nan,nan,nan,nan,-1,False,,nan,nan,True,11,undercount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k12,1,word_rep,t4,12,12,19,blue,18,6.293333333333333,11,nan,nan,nan,nan,-1,False,,nan,nan,True,11,undercount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k12,2,word_rep,t4,12,12,19,blue,19,6.293333333333333,12,nan,nan,nan,nan,-1,False,,nan,nan,True,12,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k16,0,word_rep,t4,16,16,23,blue,22,7.541333333333333,15,nan,nan,nan,nan,-1,False,,nan,nan,True,15,undercount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k16,1,word_rep,t4,16,16,23,blue,23,7.541333333333333,16,nan,nan,nan,nan,-1,False,,nan,nan,True,16,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k16,2,word_rep,t4,16,16,23,blue,23,7.541333333333333,16,nan,nan,nan,nan,-1,False,,nan,nan,True,16,miscount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
f5fix,wr_blue_t4_k24,0,word_rep,t4,24,24,31,blue,28,10.186666666666667,21,nan,nan,nan,nan,-1,False,,nan,nan,True,21,undercount,0,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
