model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
qwen06bgreedy,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,9,3.6,2,nan,nan,nan,nan,45,False,2,3.6000000000000023,0.9999999999999993,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,4.4,3,nan,nan,nan,nan,55,False,3,4.400000000000002,0.9999999999999996,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,5.84,4,nan,nan,nan,nan,73,False,5,5.200000000000001,1.1230769230769229,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,13,5.84,6,nan,nan,nan,nan,73,False,5,6.800000000000001,0.8588235294117645,True,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k08,0,control_word,t4,8,8,15,blue,15,6.16,8,nan,nan,nan,nan,77,False,5,8.4,0.7333333333333333,False,8,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k12,0,control_word,t4,12,12,19,blue,19,8.08,12,nan,nan,nan,nan,101,False,8,11.599999999999998,0.6965517241379312,False,12,truncation,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k16,0,control_word,t4,16,16,23,blue,23,9.68,16,nan,nan,nan,nan,121,False,10,14.799999999999997,0.6540540540540541,False,16,truncation,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k24,0,control_word,t4,24,24,31,blue,31,12.64,24,nan,nan,nan,nan,158,False,13,21.199999999999996,0.5962264150943398,False,24,truncation,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_blue_t4_k32,0,control_word,t4,32,32,39,blue,39,14.24,32,nan,nan,nan,nan,178,False,15,27.599999999999994,0.5159420289855073,False,32,truncation,0,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
qwen06bgreedy,ct_far_t3_k02,0,control_word,t3,2,2,10,far,10,4.24,2,nan,nan,nan,nan,53,False,3,3.9733333333333336,1.0671140939597314,True,2,correct,1,HE WALKED DEEP FAST INTO THE FOREST BEFORE TURNING BACK
