model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
xtts2,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,9,2.784,2,0.14574286341667175,0.04615333676338196,0.17116666666666666,0.17066822946071625,59,False,2,2.581333333333334,1.0785123966942145,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k02,1,control_word,t4,2,2,9,blue,9,2.592,2,0.14147047698497772,0.03999895229935646,0.11808333333333333,0.39162522554397583,55,False,2,2.581333333333334,1.0041322314049583,True,2,correct,1,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k02,2,control_word,t4,2,2,9,blue,8,2.368,2,0.14723068475723267,0.03190482780337334,0.16733333333333333,0.4133569896221161,50,False,2,2.581333333333334,0.9173553719008262,True,2,correct,1,THELIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,3.104,3,0.1452840119600296,0.045818883925676346,0.14966666666666667,0.1682249754667282,66,False,3,3.3991111111111114,0.9131799163179916,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k03,1,control_word,t4,3,3,10,blue,10,3.4346666666666668,3,0.14261339604854584,0.049151889979839325,0.1405,0.2798047363758087,73,False,3,3.3991111111111114,1.010460251046025,True,3,correct,1,THE LIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k03,2,control_word,t4,3,3,10,blue,9,3.6586666666666665,3,0.13507917523384094,0.04543819651007652,0.15045833333333333,0.3038528561592102,78,False,3,3.3991111111111114,1.0763598326359831,True,3,correct,1,THELIGHT WAS GREEN BRIGHT PALE BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,11,4.224,4,0.1370701789855957,0.047524821013212204,0.16958333333333334,0.20816156268119812,90,False,4,4.216888888888889,1.0016863406408096,True,4,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k04,1,control_word,t4,4,4,11,blue,11,5.802666666666667,4,0.12390171736478806,0.05679596960544586,0.11941666666666667,0.25079891085624695,124,False,6,4.216888888888889,1.376053962900506,False,6,correct,1,THE LIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k04,2,control_word,t4,4,4,11,blue,10,4.64,4,0.1308305412530899,0.05115010589361191,0.238125,0.22140073776245117,99,False,5,4.216888888888889,1.1003372681281618,True,4,correct,1,THELIGHT WAS GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
xtts2,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,12,4.874666666666666,6,0.13897252082824707,0.06125326082110405,0.14429166666666668,0.20719559490680695,104,False,5,5.852444444444444,0.8329283110571081,True,6,correct,1,HELIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
