model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
llasa1b,ct_blue_t4_k02,0,control_word,t4,2,2,9,blue,21,40.96,0,0.0024081815499812365,0.0027983004692941904,6.25e-05,0.8593202233314514,2048,True,20,4.1,9.990243902439026,False,20,loop,0,O  O O  O  O O O O OT    O O O O AO O     AA  O  O WA UT WA
llasa1b,ct_blue_t4_k02,1,control_word,t4,2,2,9,blue,1,40.96,0,0.0005984040908515453,0.013247234746813774,21.0188125,0.10119394212961197,2048,True,20,4.1,9.990243902439026,False,20,empty,0,O
llasa1b,ct_blue_t4_k02,2,control_word,t4,2,2,9,blue,9,5.54,0,0.01791730336844921,0.006819622125476599,6.25e-05,0.17599323391914368,277,False,3,4.1,1.351219512195122,False,3,undercount,0,THE NIGHT WAS GRA BY BEFORE THE SPELL AWA
llasa1b,ct_blue_t4_k03,0,control_word,t4,3,3,10,blue,10,3.8,2,0.002820545807480812,0.0430944561958313,0.0320625,0.2188771516084671,190,False,2,6.1499999999999995,0.6178861788617886,True,2,truncation,0,THE LIGHT WAS GREEN BRIGHT PAL THE FAST TO LIT
llasa1b,ct_blue_t4_k03,1,control_word,t4,3,3,10,blue,1,40.96,0,0.0005107066826894879,0.024517538025975227,5.749625,0.3149370849132538,2048,True,20,6.1499999999999995,6.660162601626017,False,20,empty,0,TEET
llasa1b,ct_blue_t4_k03,2,control_word,t4,3,3,10,blue,9,4.84,1,0.0740610733628273,0.025918232277035713,0.7188125,0.11811177432537079,242,False,2,6.1499999999999995,0.7869918699186992,True,1,undercount,0,THE LIGHT WAS GREEN BACK PAL BEFORE THE STOHAAFED
llasa1b,ct_blue_t4_k04,0,control_word,t4,4,4,11,blue,9,5.3,2,0.0016832826659083366,0.06287623196840286,0.007125,0.17907504737377167,265,False,3,8.2,0.6463414634146342,True,2,truncation,0,THE LIGHT WAS GREEN BRIGHT AT EFARTHES FONE WA
llasa1b,ct_blue_t4_k04,1,control_word,t4,4,4,11,blue,10,22.92,0,0.005032846704125404,0.03548969328403473,6.25e-05,0.46911051869392395,1146,False,11,8.2,2.7951219512195125,False,11,loop,0,TE LIGHT WAS BLAIN BLANK OUN THEN BEFORE THE STORM
llasa1b,ct_blue_t4_k04,2,control_word,t4,4,4,11,blue,11,4.46,2,0.03395884111523628,0.024117087945342064,0.6490625,0.37959104776382446,223,False,2,8.2,0.5439024390243903,True,2,truncation,0,THE LIGHT WAS GREEN BRIGHT AND ENN UPON IS FORM LAWN
llasa1b,ct_blue_t4_k06,0,control_word,t4,6,6,13,blue,16,40.96,0,0.03180163726210594,0.011630156077444553,35.62175,0.3918144404888153,2048,True,20,12.299999999999999,3.3300813008130086,False,20,loop,0,THE RERUP WOD AA O O O O O O O OOO  OOO T O SIE
llasa1b,ct_blue_t4_k06,1,control_word,t4,6,6,13,blue,2,16.26,0,0.00215138983912766,0.02175583317875862,2.228875,0.4204723536968231,813,False,8,12.299999999999999,1.3219512195121954,False,8,undercount,0,TAT TAN
