dataset,model,view,feature,class_label,n,spearman_rho,spearman_p,partial_n,partial_spearman_rho,partial_spearman_p,orientation,analysis_stage,spearman_q,partial_spearman_q
ASVspoof2021_DF,AASIST,deterministic_crop,crest_factor_db,0,5000,-0.4667692300643766,4.811853219204288e-269,5000,-0.4985794188882767,1.2111877968642255e-306,negated_raw_is_spoof,screen,7.791723767000679e-268,3.1304546134336904e-305
ASVspoof2021_DF,AASIST,deterministic_crop,peak_dbfs,0,5000,0.22049181544974922,4.149215339921177e-56,5000,0.1530655140024702,4.237027162129041e-27,negated_raw_is_spoof,screen,1.7001662856262383e-55,1.3181862282179239e-26
ASVspoof2021_DF,AASIST,deterministic_crop,rms_dbfs,0,5000,0.46178095596048646,1.245441419757872e-262,5000,0.5007826687222341,9.0565312732211e-310,negated_raw_is_spoof,screen,1.9239922622466437e-261,2.434395606241835e-308
ASVspoof2021_DF,AASIST,deterministic_crop,integrated_lufs,0,5000,0.0758464289913181,7.893469342874493e-08,5000,-0.09408749031715583,4.025723631620251e-11,negated_raw_is_spoof,screen,1.3195053229879747e-07,9.360852181483769e-11
ASVspoof2021_DF,AASIST,deterministic_crop,silence_fraction,0,5000,-0.42838755410528023,2.38607572947931e-222,5000,-0.48026805474438805,1.5759595498604647e-281,negated_raw_is_spoof,screen,3.0835440196348005e-221,3.06969512320647e-280
ASVspoof2021_DF,AASIST,deterministic_crop,clipping_fraction,0,5000,0.41287161443596887,4.044746281553081e-205,5000,0.26712653479462845,6.465581245638479e-81,negated_raw_is_spoof,screen,4.686326726213224e-204,3.635874976626827e-80
ASVspoof2021_DF,AASIST,deterministic_crop,frame_rms_cv,0,5000,-0.6554764775622535,0.0,5000,-0.5825857700689803,0.0,negated_raw_is_spoof,screen,0.0,0.0
ASVspoof2021_DF,AASIST,deterministic_crop,frame_rms_range_db,0,5000,-0.23794359070287555,2.62943331615017e-65,5000,-0.46829857339679815,6.396887069693522e-266,negated_raw_is_spoof,screen,1.2621279917520815e-64,1.0882805343883663e-264
ASVspoof2021_DF,AASIST,deterministic_crop,spectral_centroid_hz,0,5000,0.27524069365344506,1.2908539687979315e-87,5000,0.24548950289248267,3.075523304666076e-68,negated_raw_is_spoof,screen,7.95829235809367e-87,1.5898089697966177e-67
ASVspoof2021_DF,AASIST,deterministic_crop,spectral_centroid_std_hz,0,5000,0.22251997011682026,3.877630819307241e-57,5000,0.18196797281268384,8.779050026920779e-38,negated_raw_is_spoof,screen,1.6286049441090411e-56,3.181003401897617e-37
ASVspoof2021_DF,AASIST,deterministic_crop,spectral_bandwidth_hz,0,5000,-0.07296485111584751,2.404526047522951e-07,5000,-0.015315342992961998,0.2835357580053025,negated_raw_is_spoof,screen,3.931487844125117e-07,0.3322337042363789
ASVspoof2021_DF,AASIST,deterministic_crop,spectral_rolloff85_hz,0,5000,0.24460233313640792,5.071352326333636e-69,5000,0.2296344354632953,1.040723134459682e-59,negated_raw_is_spoof,screen,2.5150913382259805e-68,4.890670953544799e-59
ASVspoof2021_DF,AASIST,deterministic_crop,spectral_flatness,0,5000,-0.3247411535246151,3.9077275282460936e-123,5000,-0.2430686590504172,6.781377074683976e-67,negated_raw_is_spoof,screen,3.0713367239548243e-122,3.478691140601246e-66
ASVspoof2021_DF,AASIST,deterministic_crop,spectral_slope_db_per_khz,0,5000,-0.2536847607736557,2.83467109619878e-74,5000,-0.18351780565632905,2.069649377208539e-38,negated_raw_is_spoof,screen,1.5178477901558405e-73,7.641782315846913e-38
ASVspoof2021_DF,AASIST,deterministic_crop,low_high_energy_ratio_db,0,5000,0.1567369631965253,7.227070695594892e-29,5000,0.09416202555911089,3.903151709825046e-11,negated_raw_is_spoof,screen,2.084374037527797e-28,9.091570013873244e-11
ASVspoof2021_DF,AASIST,deterministic_crop,spectral_flux,0,5000,0.20711684838844038,1.4115039755197504e-49,5000,0.0853381293287921,2.1491269417768704e-09,negated_raw_is_spoof,screen,5.420175265995842e-49,4.71195205505402e-09
