dataset,view,feature,n,label_auroc,label_separation_auroc
ASVspoof2021_DF,deterministic_crop,crest_factor_db,10000,0.346433,0.653567
ASVspoof2021_DF,deterministic_crop,peak_dbfs,10000,0.4628402599999999,0.5371597400000001
ASVspoof2021_DF,deterministic_crop,rms_dbfs,10000,0.6516339999999999,0.6516339999999999
ASVspoof2021_DF,deterministic_crop,integrated_lufs,10000,0.49096052,0.50903948
ASVspoof2021_DF,deterministic_crop,silence_fraction,10000,0.35807092,0.6419290799999999
ASVspoof2021_DF,deterministic_crop,clipping_fraction,10000,0.6094085599999999,0.6094085599999999
ASVspoof2021_DF,deterministic_crop,frame_rms_cv,10000,0.25364308,0.74635692
ASVspoof2021_DF,deterministic_crop,frame_rms_range_db,10000,0.47751995999999997,0.52248004
ASVspoof2021_DF,deterministic_crop,spectral_centroid_hz,10000,0.6346054,0.6346054
ASVspoof2021_DF,deterministic_crop,spectral_centroid_std_hz,10000,0.60474012,0.60474012
ASVspoof2021_DF,deterministic_crop,spectral_bandwidth_hz,10000,0.4720597999999999,0.5279402000000001
ASVspoof2021_DF,deterministic_crop,spectral_rolloff85_hz,10000,0.63946642,0.63946642
ASVspoof2021_DF,deterministic_crop,spectral_flatness,10000,0.3515015,0.6484985
ASVspoof2021_DF,deterministic_crop,spectral_slope_db_per_khz,10000,0.34930984,0.65069016
ASVspoof2021_DF,deterministic_crop,low_high_energy_ratio_db,10000,0.60619372,0.60619372
ASVspoof2021_DF,deterministic_crop,spectral_flux,10000,0.5804486799999999,0.5804486799999999
ASVspoof2021_DF,deterministic_crop,f0_median_hz,9966,0.6307759375611152,0.6307759375611152
ASVspoof2021_DF,deterministic_crop,f0_iqr_hz,9966,0.44495121821165284,0.5550487817883472
ASVspoof2021_DF,deterministic_crop,voiced_fraction,10000,0.51292064,0.51292064
ASVspoof2021_DF,deterministic_crop,hnr_db,9966,0.4442825759374645,0.5557174240625355
ASVspoof2021_DF,deterministic_crop,cpp_proxy_db,9966,0.6315349940443414,0.6315349940443414
ASVspoof2021_DF,deterministic_crop,jitter_proxy,9966,0.35875021063087453,0.6412497893691255
ASVspoof2021_DF,deterministic_crop,shimmer_proxy_db,9966,0.5420997151529543,0.5420997151529543
ASVspoof2021_DF,deterministic_crop,f0_delta_hz,9966,0.49422666008542515,0.5057733399145748
ASVspoof2021_DF,deterministic_crop,group_delay_var,10000,0.27826756,0.72173244
ASVspoof2021_DF,deterministic_crop,inst_freq_dispersion,10000,0.50569678,0.50569678
ASVspoof2021_DF,deterministic_crop,modulation_centroid_hz,10000,0.6635774000000001,0.6635774000000001
ASVspoof2021_DF,deterministic_crop,modulation_entropy,10000,0.66517192,0.66517192
ASVspoof2021_DF,full_waveform,crest_factor_db,10000,0.3690318,0.6309682
ASVspoof2021_DF,full_waveform,peak_dbfs,10000,0.46419999999999995,0.5358
ASVspoof2021_DF,full_waveform,rms_dbfs,10000,0.63096612,0.63096612
ASVspoof2021_DF,full_waveform,integrated_lufs,10000,0.48978272,0.51021728
ASVspoof2021_DF,full_waveform,silence_fraction,10000,0.3573159,0.6426841
ASVspoof2021_DF,full_waveform,clipping_fraction,10000,0.59040554,0.59040554
ASVspoof2021_DF,full_waveform,frame_rms_cv,10000,0.24809184,0.7519081599999999
ASVspoof2021_DF,full_waveform,frame_rms_range_db,10000,0.4790811199999999,0.5209188800000001
ASVspoof2021_DF,full_waveform,spectral_centroid_hz,10000,0.6254892000000001,0.6254892000000001
ASVspoof2021_DF,full_waveform,spectral_centroid_std_hz,10000,0.60019416,0.60019416
ASVspoof2021_DF,full_waveform,spectral_bandwidth_hz,10000,0.47581648,0.52418352
ASVspoof2021_DF,full_waveform,spectral_rolloff85_hz,10000,0.63028744,0.63028744
ASVspoof2021_DF,full_waveform,spectral_flatness,10000,0.35946512,0.6405348799999999
ASVspoof2021_DF,full_waveform,spectral_slope_db_per_khz,10000,0.3609054,0.6390946
ASVspoof2021_DF,full_waveform,low_high_energy_ratio_db,10000,0.59853086,0.59853086
ASVspoof2021_DF,full_waveform,spectral_flux,10000,0.5753033,0.5753033
ASVspoof2021_DF,full_waveform,f0_median_hz,9962,0.6047332673928184,0.6047332673928184
ASVspoof2021_DF,full_waveform,f0_iqr_hz,9962,0.4363206079425269,0.5636793920574731
ASVspoof2021_DF,full_waveform,voiced_fraction,10000,0.53466214,0.53466214
ASVspoof2021_DF,full_waveform,hnr_db,9962,0.44972902317752667,0.5502709768224734
ASVspoof2021_DF,full_waveform,cpp_proxy_db,9962,0.6162238253237373,0.6162238253237373
ASVspoof2021_DF,full_waveform,jitter_proxy,9962,0.33953222540370426,0.6604677745962957
ASVspoof2021_DF,full_waveform,shimmer_proxy_db,9962,0.5506364307640716,0.5506364307640716
ASVspoof2021_DF,full_waveform,f0_delta_hz,9962,0.47492748961719033,0.5250725103828097
ASVspoof2021_DF,full_waveform,group_delay_var,10000,0.28593367999999997,0.71406632
ASVspoof2021_DF,full_waveform,inst_freq_dispersion,10000,0.50526352,0.50526352
ASVspoof2021_DF,full_waveform,modulation_centroid_hz,10000,0.7321522,0.7321522
ASVspoof2021_DF,full_waveform,modulation_entropy,10000,0.6285939600000001,0.6285939600000001
ASVspoof2021_DF,preemphasized_crop,crest_factor_db,10000,0.34957044000000004,0.65042956
