dataset,model,view,feature,class_label,n,spearman_rho,spearman_p,partial_n,partial_spearman_rho,partial_spearman_p,orientation,analysis_stage,spearman_q,partial_spearman_q
ASVspoof5,AASIST,deterministic_crop,crest_factor_db,0,5000,0.0447321190714319,0.0015570704809715502,5000,0.025427356220947613,0.09699777386926367,negated_raw_is_spoof,screen,0.002214500239603983,0.12793425719361176
ASVspoof5,AASIST,deterministic_crop,peak_dbfs,0,5000,0.022360180481744946,0.1138995688513703,5000,0.04552873958344592,0.0029527096808963835,negated_raw_is_spoof,screen,0.13381208088832314,0.005100824950031798
ASVspoof5,AASIST,deterministic_crop,rms_dbfs,0,5000,-0.020421004033820366,0.14880296695103923,5000,0.05893337586960784,0.00011851787610276533,negated_raw_is_spoof,screen,0.1730027574240456,0.00023287723023701257
ASVspoof5,AASIST,deterministic_crop,integrated_lufs,0,5000,-0.03564966032369759,0.011702761572031038,5000,-0.04060091138634722,0.008027636829674405,negated_raw_is_spoof,screen,0.015300108514406338,0.01307775018070594
ASVspoof5,AASIST,deterministic_crop,silence_fraction,0,5000,0.1176173335148657,7.200389053060703e-17,5000,0.12538838619355575,2.1228413377089398e-16,negated_raw_is_spoof,screen,1.7627181944104888e-16,7.527965060371544e-16
ASVspoof5,AASIST,deterministic_crop,clipping_fraction,0,5000,0.01598515346015047,0.2584296120625202,5000,0.03718506759632639,0.015206126073875104,negated_raw_is_spoof,screen,0.28920016537221244,0.023599345777468982
ASVspoof5,AASIST,deterministic_crop,frame_rms_cv,0,5000,0.05807039464560316,3.9800014179968904e-05,5000,0.07327519123939003,1.6830899412110659e-06,negated_raw_is_spoof,screen,6.42923305984113e-05,3.80820350334625e-06
ASVspoof5,AASIST,deterministic_crop,frame_rms_range_db,0,5000,0.11407275111238553,5.938827593031187e-16,5000,0.11580820682408417,3.380651377003525e-14,negated_raw_is_spoof,screen,1.4127051831918434e-15,1.1109035331767086e-13
ASVspoof5,AASIST,deterministic_crop,spectral_centroid_hz,0,5000,-0.0988533285828781,2.46278224843799e-12,5000,-0.22983578652387687,3.409582359967962e-52,negated_raw_is_spoof,screen,5.279073910527366e-12,3.0347541005277754e-51
ASVspoof5,AASIST,deterministic_crop,spectral_centroid_std_hz,0,5000,-0.2632359901740749,4.9480760126982496e-80,5000,-0.32160123357228576,4.072433761959645e-103,negated_raw_is_spoof,screen,4.9628463888555574e-79,9.773841028703149e-102
ASVspoof5,AASIST,deterministic_crop,spectral_bandwidth_hz,0,5000,-0.256402718156416,6.89536751302252e-76,5000,-0.38080468886037977,4.1171097224325023e-147,negated_raw_is_spoof,screen,6.353217626358465e-75,2.9123134036575173e-145
ASVspoof5,AASIST,deterministic_crop,spectral_rolloff85_hz,0,5000,-0.12379944665060003,1.5557508932135576e-18,5000,-0.25399858241908546,1.0083537229852987e-63,negated_raw_is_spoof,screen,4.09183796571237e-18,1.1484977997391877e-62
ASVspoof5,AASIST,deterministic_crop,spectral_flatness,0,5000,-0.35682331664206013,4.927143699414088e-150,5000,-0.38666481963395416,5.373772241582878e-152,negated_raw_is_spoof,screen,2.2834762524181153e-148,4.2484411133455225e-150
ASVspoof5,AASIST,deterministic_crop,spectral_slope_db_per_khz,0,5000,-0.3890406565243001,2.2463805360433213e-180,5000,-0.41828295578906793,3.963934199083706e-180,negated_raw_is_spoof,screen,1.7759620237895435e-178,7.610753662240717e-178
ASVspoof5,AASIST,deterministic_crop,low_high_energy_ratio_db,0,5000,0.33116232577438875,2.894608532771802e-128,5000,0.4100912388842086,1.5210739851701502e-172,negated_raw_is_spoof,screen,9.262747304869766e-127,2.044323436068682e-170
ASVspoof5,AASIST,deterministic_crop,spectral_flux,0,5000,0.07956984991043269,1.761121505717313e-08,5000,0.23694183486757459,1.8845709379091982e-55,negated_raw_is_spoof,screen,3.357372061963218e-08,1.7837065778520862e-54
ASVspoof5,AASIST,deterministic_crop,f0_median_hz,0,4992,-0.017649407813550747,0.21247538390215584,4992,0.04183619809382945,0.006357651689047027,negated_raw_is_spoof,screen,0.24057869921187655,0.01058820801744635
ASVspoof5,AASIST,deterministic_crop,f0_iqr_hz,0,4992,-0.050332348238179975,0.0003743293462355918,4992,-0.02771171845796363,0.07075661997047067,negated_raw_is_spoof,screen,0.0005602434758804403,0.0964471574445361
ASVspoof5,AASIST,deterministic_crop,voiced_fraction,0,5000,-0.04850579728996221,0.0006012723331470862,5000,0.007529643818816205,0.6231645557842252,negated_raw_is_spoof,screen,0.0008851150227269265,0.67706803797413
ASVspoof5,AASIST,deterministic_crop,hnr_db,0,4992,-0.07518265330312901,1.0482237208584381e-07,4992,-0.04248097608873458,0.00559128385919457,negated_raw_is_spoof,screen,1.9272403294579218e-07,0.00934662376462376
ASVspoof5,AASIST,deterministic_crop,cpp_proxy_db,0,4992,-0.26671773116232134,4.608035229415062e-82,4992,-0.3069586954231552,1.7689230003339423e-93,negated_raw_is_spoof,screen,5.076392908470364e-81,3.8345685684658355e-92
ASVspoof5,AASIST,deterministic_crop,jitter_proxy,0,4992,-0.04590665450608794,0.0011770209841946429,4992,-0.005214804638795961,0.7338670865339518,negated_raw_is_spoof,screen,0.001690081413202564,0.7754067329415341
ASVspoof5,AASIST,deterministic_crop,shimmer_proxy_db,0,4992,0.19528748321583717,4.2391758710560066e-44,4992,0.16540251800983086,1.8185196331756865e-27,negated_raw_is_spoof,screen,2.0494432988126884e-43,8.575755743817974e-27
ASVspoof5,AASIST,deterministic_crop,f0_delta_hz,0,4992,-0.02542462796179145,0.07246361393822108,4992,0.029653792582647925,0.05314636992171235,negated_raw_is_spoof,screen,0.08789810210556781,0.074638162147107
ASVspoof5,AASIST,deterministic_crop,group_delay_var,0,5000,0.32807340934668383,8.811740463884268e-126,5000,0.36532749512988916,1.097272672464438e-134,negated_raw_is_spoof,screen,2.5197828049915866e-124,6.703338508146385e-133
ASVspoof5,AASIST,deterministic_crop,inst_freq_dispersion,0,5000,0.0021292553220760165,0.8803515219200585,5000,0.035755474773292245,0.01959321531891071,negated_raw_is_spoof,screen,0.8983997307976908,0.029788779851375558
ASVspoof5,AASIST,deterministic_crop,modulation_centroid_hz,0,5000,0.0911890513479391,1.0477938346879943e-10,5000,0.05740321230772065,0.00017749620081425926,negated_raw_is_spoof,screen,2.1240345608154816e-10,0.0003432444516465675
ASVspoof5,AASIST,deterministic_crop,modulation_entropy,0,5000,0.07468173769485421,1.2443393589178044e-07,5000,0.04003190092841201,0.008964194348271975,negated_raw_is_spoof,screen,2.275363399163985e-07,0.014533024371625495
