dataset,model,view,feature,class_label,n,spearman_rho,spearman_p,partial_n,partial_spearman_rho,partial_spearman_p,orientation,analysis_stage,spearman_q,partial_spearman_q
InTheWild,AASIST,deterministic_crop,crest_factor_db,0,19963,-0.4408905848995714,0.0,19963,-0.1688237857214424,3.4853993835042706e-127,negated_raw_is_spoof,screen,0.0,4.419223369273339e-126
InTheWild,AASIST,deterministic_crop,peak_dbfs,0,19963,0.15365865956460126,9.899150647451694e-106,19963,-0.11542818450034785,5.156538224254818e-60,negated_raw_is_spoof,screen,3.213637311636492e-105,2.4575841749639987e-59
InTheWild,AASIST,deterministic_crop,rms_dbfs,0,19963,0.3515445186164739,0.0,19963,0.17327367422275286,5.659798264033801e-134,negated_raw_is_spoof,screen,0.0,7.606768866861428e-133
InTheWild,AASIST,deterministic_crop,integrated_lufs,0,19962,0.33525488419182287,0.0,19962,0.2837665994811548,0.0,negated_raw_is_spoof,screen,0.0,0.0
InTheWild,AASIST,deterministic_crop,silence_fraction,0,19963,-0.11995016300999763,7.140686309349187e-65,19963,-0.031831873842946175,7.0529477467277555e-06,negated_raw_is_spoof,screen,1.7417572413367163e-64,9.82296556642705e-06
InTheWild,AASIST,deterministic_crop,clipping_fraction,0,19963,0.030705562029056204,1.4303160213750446e-05,19963,0.04258251600927846,1.8505662465457167e-09,negated_raw_is_spoof,screen,1.7783022504422387e-05,2.872010433438156e-09
InTheWild,AASIST,deterministic_crop,frame_rms_cv,0,19963,-0.1790042334943577,2.1724510710383447e-143,19963,-0.10909985137187027,9.049756723869628e-54,negated_raw_is_spoof,screen,9.765131235704131e-143,3.7890570208351334e-53
InTheWild,AASIST,deterministic_crop,frame_rms_range_db,0,19963,-0.1286486641621804,2.010119353218308e-74,19963,-0.031152427735157397,1.1018553268527228e-05,negated_raw_is_spoof,screen,5.349703783614665e-74,1.5142060933436192e-05
InTheWild,AASIST,deterministic_crop,spectral_centroid_hz,0,19963,-0.33992229328111734,0.0,19963,-0.09913215887398008,1.1689144325919762e-44,negated_raw_is_spoof,screen,0.0,4.0386143892123805e-44
InTheWild,AASIST,deterministic_crop,spectral_centroid_std_hz,0,19963,-0.32038098327833536,0.0,19963,-0.06683270093460233,3.744442686665819e-21,negated_raw_is_spoof,screen,0.0,8.30450655260538e-21
InTheWild,AASIST,deterministic_crop,spectral_bandwidth_hz,0,19963,-0.3871563258943005,0.0,19963,-0.19919524459453297,2.8397059096265214e-177,negated_raw_is_spoof,screen,0.0,5.3007843646361735e-176
InTheWild,AASIST,deterministic_crop,spectral_rolloff85_hz,0,19963,-0.33074090420790225,0.0,19963,-0.10194147158185098,3.883688292322326e-47,negated_raw_is_spoof,screen,0.0,1.4222553310303014e-46
InTheWild,AASIST,deterministic_crop,spectral_flatness,0,19963,-0.44169506205482545,0.0,19963,-0.2781721912559531,0.0,negated_raw_is_spoof,screen,0.0,0.0
InTheWild,AASIST,deterministic_crop,spectral_slope_db_per_khz,0,19963,-0.38334923476394583,0.0,19963,-0.13988537361965694,1.5431331571801475e-87,negated_raw_is_spoof,screen,0.0,1.0973391339947717e-86
InTheWild,AASIST,deterministic_crop,low_high_energy_ratio_db,0,19963,0.46601991463469516,0.0,19963,0.25404114870227024,9.77359716160567e-291,negated_raw_is_spoof,screen,0.0,2.9190476855995603e-289
InTheWild,AASIST,deterministic_crop,spectral_flux,0,19963,0.3522318744885557,0.0,19963,0.2924432188681149,0.0,negated_raw_is_spoof,screen,0.0,0.0
InTheWild,AASIST,deterministic_crop,f0_median_hz,0,19526,0.09276037206907205,1.4108448074683026e-38,19526,0.10722704687478525,6.888240937377455e-51,negated_raw_is_spoof,screen,2.697262334619344e-38,2.7309132211903536e-50
InTheWild,AASIST,deterministic_crop,f0_iqr_hz,0,19526,0.04318952629644325,1.564821524358026e-09,19526,0.017203486539708393,0.016372198448192724,negated_raw_is_spoof,screen,2.137317204001206e-09,0.019524609329521755
InTheWild,AASIST,deterministic_crop,voiced_fraction,0,19963,0.16523156471652892,3.548119809087318e-122,19963,0.12891387431697593,1.605655641847497e-74,negated_raw_is_spoof,screen,1.3547366543787942e-121,9.506613139396635e-74
InTheWild,AASIST,deterministic_crop,hnr_db,0,19526,0.08830412503687872,4.165542573190333e-35,19526,0.0632008797588289,1.0753065656710646e-18,negated_raw_is_spoof,screen,7.711417656154004e-35,2.219987748482198e-18
InTheWild,AASIST,deterministic_crop,cpp_proxy_db,0,19526,-0.049520856115880266,4.402315450221998e-12,19526,0.052333092749264995,2.7351183461696483e-13,negated_raw_is_spoof,screen,6.2677033528584385e-12,4.868872923512592e-13
InTheWild,AASIST,deterministic_crop,jitter_proxy,0,19526,0.01571132260669252,0.028133203974514468,19526,-0.01925247083084033,0.007221167225285593,negated_raw_is_spoof,screen,0.03174729315008182,0.008790986187304199
InTheWild,AASIST,deterministic_crop,shimmer_proxy_db,0,19526,-0.09790371303020115,8.52298856034868e-43,19526,0.049755136753014344,3.7462814957842834e-12,negated_raw_is_spoof,screen,1.7096860634490486e-42,6.463417625589316e-12
InTheWild,AASIST,deterministic_crop,f0_delta_hz,0,19526,0.06829714833769701,1.2468767584659819e-21,19526,0.04332335455055898,1.470441376265118e-09,negated_raw_is_spoof,screen,2.0045482815529662e-21,2.297992104302696e-09
InTheWild,AASIST,deterministic_crop,group_delay_var,0,19963,0.06176497499635431,2.4452781196191852e-18,19963,-0.14469313912385987,1.3734816079240182e-93,negated_raw_is_spoof,screen,3.8037659638520654e-18,1.1076107338910352e-92
InTheWild,AASIST,deterministic_crop,inst_freq_dispersion,0,19963,-0.15824936303434636,4.184834651857343e-112,19963,-0.06845062707053191,4.1001952189535803e-22,negated_raw_is_spoof,screen,1.449592209303162e-111,9.246077809183912e-22
InTheWild,AASIST,deterministic_crop,modulation_centroid_hz,0,19963,-0.0064775651124601265,0.36010208618849476,19963,0.08145173469649178,1.1665191660090206e-30,negated_raw_is_spoof,screen,0.3754671868404476,3.219305460197379e-30
InTheWild,AASIST,deterministic_crop,modulation_entropy,0,19963,-0.0011367703534666384,0.872404654824177,19963,0.05852822241229381,1.4035208501736667e-16,negated_raw_is_spoof,screen,0.8782860345196208,2.7377823260281683e-16
InTheWild,AASIST,deterministic_crop,crest_factor_db,1,11816,-0.33326244972779306,2.094433165908043e-304,11816,-0.150911696019438,7.349629080842029e-61,negated_raw_is_spoof,screen,1.8160762419228453e-303,3.591964176236977e-60
InTheWild,AASIST,deterministic_crop,peak_dbfs,1,11816,0.28697187588614137,8.569236804460962e-223,11816,-0.056388524980455795,9.405238567217933e-10,negated_raw_is_spoof,screen,5.1415420826765774e-222,1.4836432669414202e-09
InTheWild,AASIST,deterministic_crop,rms_dbfs,1,11816,0.44318253754718706,0.0,11816,0.24922719665343124,5.485834807186414e-166,negated_raw_is_spoof,screen,0.0,9.830615974478054e-165
InTheWild,AASIST,deterministic_crop,integrated_lufs,1,11816,0.4117659870803873,0.0,11816,0.3337203937511914,7.079863277664445e-304,negated_raw_is_spoof,screen,0.0,2.3788340612952536e-302
InTheWild,AASIST,deterministic_crop,silence_fraction,1,11816,0.16788934025891608,1.9540379882362681e-75,11816,-0.027745242272965966,0.002620646782946644,negated_raw_is_spoof,screen,5.262980072524137e-75,0.0032462205311339074
InTheWild,AASIST,deterministic_crop,clipping_fraction,1,11816,0.016827927367147156,0.06737628876865229,11816,0.0051779166146702395,0.5744869554733814,negated_raw_is_spoof,screen,0.074163580757632,0.5994646491896153
InTheWild,AASIST,deterministic_crop,frame_rms_cv,1,11816,-0.12774897109958225,3.5103576352412075e-44,11816,-0.16356403583679743,2.598273360104641e-71,negated_raw_is_spoof,screen,7.181005573461465e-44,1.4430080148680318e-70
InTheWild,AASIST,deterministic_crop,frame_rms_range_db,1,11816,0.09781124783065502,1.6232756344372314e-26,11816,-0.030982084695071237,0.00077870222648104,negated_raw_is_spoof,screen,2.772150511669173e-26,0.000982700274545087
InTheWild,AASIST,deterministic_crop,spectral_centroid_hz,1,11816,-0.12558668070590012,9.569330602882071e-43,11816,-0.11519162208021712,4.976672409006383e-36,negated_raw_is_spoof,screen,1.916718380070567e-42,1.5030669028549614e-35
InTheWild,AASIST,deterministic_crop,spectral_centroid_std_hz,1,11816,-0.015972064211684782,0.08254381913542866,11816,-0.08809216773326625,1.0626608240157116e-21,negated_raw_is_spoof,screen,0.09012095281723487,2.3803602457951937e-21
InTheWild,AASIST,deterministic_crop,spectral_bandwidth_hz,1,11816,-0.20983053920754113,1.0725224056743332e-117,11816,-0.16590103315564,2.4425897744491154e-73,negated_raw_is_spoof,screen,3.9277114801806645e-117,1.415017524508453e-72
