dataset,view,feature,n,label_auroc,label_separation_auroc
InTheWild,deterministic_crop,crest_factor_db,31779,0.6445159029987466,0.6445159029987466
InTheWild,deterministic_crop,peak_dbfs,31779,0.4204725170136181,0.5795274829863819
InTheWild,deterministic_crop,rms_dbfs,31779,0.3511783656568986,0.6488216343431015
InTheWild,deterministic_crop,integrated_lufs,31778,0.32470448930829104,0.6752955106917089
InTheWild,deterministic_crop,silence_fraction,31779,0.6606070481406173,0.6606070481406173
InTheWild,deterministic_crop,clipping_fraction,31779,0.49710391356711336,0.5028960864328866
InTheWild,deterministic_crop,frame_rms_cv,31779,0.4435752223197207,0.5564247776802793
InTheWild,deterministic_crop,frame_rms_range_db,31779,0.6755341491440954,0.6755341491440954
InTheWild,deterministic_crop,spectral_centroid_hz,31779,0.5801947592551977,0.5801947592551977
InTheWild,deterministic_crop,spectral_centroid_std_hz,31779,0.6542010217209215,0.6542010217209215
InTheWild,deterministic_crop,spectral_bandwidth_hz,31779,0.4239261769344377,0.5760738230655623
InTheWild,deterministic_crop,spectral_rolloff85_hz,31779,0.5655131509202654,0.5655131509202654
InTheWild,deterministic_crop,spectral_flatness,31779,0.18648768162875184,0.8135123183712482
InTheWild,deterministic_crop,spectral_slope_db_per_khz,31779,0.2983135379667008,0.7016864620332992
InTheWild,deterministic_crop,low_high_energy_ratio_db,31779,0.6464097247816382,0.6464097247816382
InTheWild,deterministic_crop,spectral_flux,31779,0.6700789550546643,0.6700789550546643
InTheWild,deterministic_crop,f0_median_hz,31225,0.4461548709544856,0.5538451290455144
InTheWild,deterministic_crop,f0_iqr_hz,31225,0.4267706858723208,0.5732293141276792
InTheWild,deterministic_crop,voiced_fraction,31779,0.5276366559109301,0.5276366559109301
InTheWild,deterministic_crop,hnr_db,31225,0.5844266619523795,0.5844266619523795
InTheWild,deterministic_crop,cpp_proxy_db,31225,0.46306105000504433,0.5369389499949557
InTheWild,deterministic_crop,jitter_proxy,31225,0.41932072886623156,0.5806792711337685
InTheWild,deterministic_crop,shimmer_proxy_db,31225,0.566906703489331,0.566906703489331
InTheWild,deterministic_crop,f0_delta_hz,31225,0.4136490986477823,0.5863509013522177
InTheWild,deterministic_crop,group_delay_var,31779,0.16698384394338733,0.8330161560566127
InTheWild,deterministic_crop,inst_freq_dispersion,31779,0.18941747335821102,0.810582526641789
InTheWild,deterministic_crop,modulation_centroid_hz,31779,0.5829438023308592,0.5829438023308592
InTheWild,deterministic_crop,modulation_entropy,31779,0.5858992572277671,0.5858992572277671
InTheWild,full_waveform,crest_factor_db,31779,0.6692639889211426,0.6692639889211426
InTheWild,full_waveform,peak_dbfs,31779,0.4413263640646503,0.5586736359353497
InTheWild,full_waveform,rms_dbfs,31779,0.35108916882149377,0.6489108311785062
InTheWild,full_waveform,integrated_lufs,31778,0.3235765337350173,0.6764234662649826
InTheWild,full_waveform,silence_fraction,31779,0.6968762640811025,0.6968762640811025
InTheWild,full_waveform,clipping_fraction,31779,0.4966202475425848,0.5033797524574152
InTheWild,full_waveform,frame_rms_cv,31779,0.46101448817753604,0.538985511822464
InTheWild,full_waveform,frame_rms_range_db,31779,0.731252313224964,0.731252313224964
InTheWild,full_waveform,spectral_centroid_hz,31779,0.5878416370217197,0.5878416370217197
InTheWild,full_waveform,spectral_centroid_std_hz,31779,0.6621171306388722,0.6621171306388722
InTheWild,full_waveform,spectral_bandwidth_hz,31779,0.42638447393758344,0.5736155260624165
InTheWild,full_waveform,spectral_rolloff85_hz,31779,0.5732383451192424,0.5732383451192424
InTheWild,full_waveform,spectral_flatness,31779,0.1792497632977135,0.8207502367022865
InTheWild,full_waveform,spectral_slope_db_per_khz,31779,0.3007123181270591,0.6992876818729409
InTheWild,full_waveform,low_high_energy_ratio_db,31779,0.6472762928106232,0.6472762928106232
InTheWild,full_waveform,spectral_flux,31779,0.6780556003894951,0.6780556003894951
InTheWild,full_waveform,f0_median_hz,31202,0.44377024376160834,0.5562297562383917
InTheWild,full_waveform,f0_iqr_hz,31202,0.4364840143217177,0.5635159856782823
InTheWild,full_waveform,voiced_fraction,31779,0.5118774446673536,0.5118774446673536
InTheWild,full_waveform,hnr_db,31202,0.5815600135229342,0.5815600135229342
InTheWild,full_waveform,cpp_proxy_db,31202,0.46399493352543075,0.5360050664745692
InTheWild,full_waveform,jitter_proxy,31202,0.4350192914025476,0.5649807085974524
InTheWild,full_waveform,shimmer_proxy_db,31202,0.5738834530642662,0.5738834530642662
InTheWild,full_waveform,f0_delta_hz,31202,0.42952645111042986,0.5704735488895701
InTheWild,full_waveform,group_delay_var,31779,0.1606231472367414,0.8393768527632586
InTheWild,full_waveform,inst_freq_dispersion,31779,0.17526916798446796,0.824730832015532
InTheWild,full_waveform,modulation_centroid_hz,31779,0.5396299377612972,0.5396299377612972
InTheWild,full_waveform,modulation_entropy,31779,0.6179630395107049,0.6179630395107049
InTheWild,preemphasized_crop,crest_factor_db,31779,0.5993899903039988,0.5993899903039988
InTheWild,preemphasized_crop,peak_dbfs,31779,0.3951089262936025,0.6048910737063975
InTheWild,preemphasized_crop,rms_dbfs,31779,0.33433490837534885,0.6656650916246512
InTheWild,preemphasized_crop,integrated_lufs,31741,0.3421444425870357,0.6578555574129643
InTheWild,preemphasized_crop,silence_fraction,31779,0.6695397784140334,0.6695397784140334
InTheWild,preemphasized_crop,clipping_fraction,31779,0.4953091685257537,0.5046908314742463
InTheWild,preemphasized_crop,frame_rms_cv,31779,0.5016777441448805,0.5016777441448805
InTheWild,preemphasized_crop,frame_rms_range_db,31779,0.6354350122879664,0.6354350122879664
InTheWild,preemphasized_crop,spectral_centroid_hz,31779,0.40686909238421476,0.5931309076157852
InTheWild,preemphasized_crop,spectral_centroid_std_hz,31779,0.6803793051335899,0.6803793051335899
InTheWild,preemphasized_crop,spectral_bandwidth_hz,31779,0.22670822623071368,0.7732917737692864
InTheWild,preemphasized_crop,spectral_rolloff85_hz,31779,0.34644466331772683,0.6535553366822732
InTheWild,preemphasized_crop,spectral_flatness,31779,0.07442410766960175,0.9255758923303983
InTheWild,preemphasized_crop,spectral_slope_db_per_khz,31779,0.29558369510337523,0.7044163048966248
InTheWild,preemphasized_crop,low_high_energy_ratio_db,31779,0.6326438974730196,0.6326438974730196
InTheWild,preemphasized_crop,spectral_flux,31779,0.8221181447865417,0.8221181447865417
InTheWild,preemphasized_crop,f0_median_hz,25682,0.49077279818500175,0.5092272018149983
InTheWild,preemphasized_crop,f0_iqr_hz,25682,0.5063124617292099,0.5063124617292099
InTheWild,preemphasized_crop,voiced_fraction,31779,0.5389371912174286,0.5389371912174286
InTheWild,preemphasized_crop,hnr_db,25682,0.596957000440766,0.596957000440766
InTheWild,preemphasized_crop,cpp_proxy_db,25682,0.4279796152737452,0.5720203847262548
InTheWild,preemphasized_crop,jitter_proxy,25682,0.49877944999287716,0.5012205500071228
InTheWild,preemphasized_crop,shimmer_proxy_db,25682,0.6015003630975427,0.6015003630975427
InTheWild,preemphasized_crop,f0_delta_hz,25682,0.5050938180163874,0.5050938180163874
InTheWild,preemphasized_crop,group_delay_var,31779,0.16743286352602688,0.8325671364739731
InTheWild,preemphasized_crop,inst_freq_dispersion,31779,0.1911650890640576,0.8088349109359424
InTheWild,preemphasized_crop,modulation_centroid_hz,31779,0.6186130741668974,0.6186130741668974
InTheWild,preemphasized_crop,modulation_entropy,31779,0.6206950614221958,0.6206950614221958
