dataset,model,view,feature,class_label,n,spearman_rho,spearman_p,partial_n,partial_spearman_rho,partial_spearman_p,orientation,analysis_stage,spearman_q,partial_spearman_q
ASVspoof2019_LA,AASIST,deterministic_crop,crest_factor_db,0,5000,0.06943330066099682,8.906399336080909e-07,5000,-0.18162878048828227,7.753802035069942e-38,negated_raw_is_spoof,screen,1.5268113147567273e-06,4.3970927996346e-37
ASVspoof2019_LA,AASIST,deterministic_crop,peak_dbfs,0,5000,0.08836758110396484,3.8691589209979813e-10,5000,0.04511091723321551,0.001532028847331483,negated_raw_is_spoof,screen,7.726819598545746e-10,0.00237765216029274
ASVspoof2019_LA,AASIST,deterministic_crop,rms_dbfs,0,5000,-0.07077861893903557,5.447631691706219e-07,5000,0.17867247532743638,1.1881195031125317e-36,negated_raw_is_spoof,screen,9.447247733746012e-07,6.46490936106576e-36
ASVspoof2019_LA,AASIST,deterministic_crop,integrated_lufs,0,5000,-0.1910352371455034,2.6352817515692696e-42,5000,-0.2756811568809921,9.892733974107734e-87,negated_raw_is_spoof,screen,1.6026328842122616e-41,1.4144504745958291e-85
ASVspoof2019_LA,AASIST,deterministic_crop,silence_fraction,0,5000,-0.13537173250214388,6.9704111050483555e-22,5000,-0.1792383177417446,7.072454499157893e-37,negated_raw_is_spoof,screen,2.2147121808947966e-21,3.8956470683886105e-36
ASVspoof2019_LA,AASIST,deterministic_crop,clipping_fraction,0,5000,0.24778035049127073,7.792790930232055e-71,5000,0.16639006560148656,6.039037433998969e-32,negated_raw_is_spoof,screen,8.801269756497381e-70,2.8379252836694453e-31
ASVspoof2019_LA,AASIST,deterministic_crop,frame_rms_cv,0,5000,-0.15814289137628365,2.303936521631772e-29,5000,-0.23356214757486568,4.420015984495986e-62,negated_raw_is_spoof,screen,9.270930194829646e-29,4.213121619264259e-61
ASVspoof2019_LA,AASIST,deterministic_crop,frame_rms_range_db,0,5000,-0.10936427935294438,8.8651832408736e-15,5000,-0.11348727463988435,1.3168074265140642e-15,negated_raw_is_spoof,screen,2.1429507690169282e-14,3.619200779621477e-15
ASVspoof2019_LA,AASIST,deterministic_crop,spectral_centroid_hz,0,5000,0.05910325451805952,2.8915680977337626e-05,5000,0.05806760489656925,4.503980199407062e-05,negated_raw_is_spoof,screen,4.62650895637402e-05,7.944028068245528e-05
ASVspoof2019_LA,AASIST,deterministic_crop,spectral_centroid_std_hz,0,5000,0.029395346956752295,0.037663852019296,5000,0.005136980995105864,0.7183721149162011,negated_raw_is_spoof,screen,0.04695752979029112,0.7537018910596208
ASVspoof2019_LA,AASIST,deterministic_crop,spectral_bandwidth_hz,0,5000,-0.018078861174191694,0.20119535904066527,5000,0.006404063584128574,0.6530054825863065,negated_raw_is_spoof,screen,0.2297421941806747,0.6943349435094904
ASVspoof2019_LA,AASIST,deterministic_crop,spectral_rolloff85_hz,0,5000,0.0659302379728859,3.0729430700432923e-06,5000,0.06732865297116222,2.222504791077432e-06,negated_raw_is_spoof,screen,5.169005614691095e-06,4.242963692056915e-06
ASVspoof2019_LA,AASIST,deterministic_crop,spectral_flatness,0,5000,-0.09862418263590318,2.7668837280453867e-12,5000,-0.13539916154466214,1.3036233962850185e-21,negated_raw_is_spoof,screen,5.988231450069243e-12,4.3475678526229896e-21
ASVspoof2019_LA,AASIST,deterministic_crop,spectral_slope_db_per_khz,0,5000,-0.061459548116707126,1.3684013247238057e-05,5000,-0.130350405992735,3.918931602338837e-20,negated_raw_is_spoof,screen,2.2238589847990265e-05,1.2451640835799992e-19
ASVspoof2019_LA,AASIST,deterministic_crop,low_high_energy_ratio_db,0,5000,0.01683950429281336,0.23384228714714544,5000,0.0584441786257953,4.017289440399349e-05,negated_raw_is_spoof,screen,0.26366110228671436,7.09492379487086e-05
ASVspoof2019_LA,AASIST,deterministic_crop,spectral_flux,0,5000,0.1473617066835185,1.1292853451876583e-25,5000,0.09052172787519312,1.915107147648836e-10,negated_raw_is_spoof,screen,4.0258872783347822e-25,4.384844985417437e-10
ASVspoof2019_LA,AASIST,deterministic_crop,f0_median_hz,0,4997,0.13883106340328466,6.253616379351586e-23,4997,0.159344426047547,2.1863588497267279e-29,negated_raw_is_spoof,screen,2.0350751607381434e-22,9.328464425500706e-29
ASVspoof2019_LA,AASIST,deterministic_crop,f0_iqr_hz,0,4997,-0.016913454247514753,0.23193494062713735,4997,-0.13440782841425872,2.6415869233998017e-21,negated_raw_is_spoof,screen,0.2620678251859826,8.744563608495895e-21
ASVspoof2019_LA,AASIST,deterministic_crop,voiced_fraction,0,5000,-0.038472373503414155,0.006513702492704265,5000,-0.015425831796995495,0.2788047092629811,negated_raw_is_spoof,screen,0.008763179329524055,0.32220092865226246
