dataset,label,n_samples,duration_seconds_finite_n,integrated_lufs_finite_n,speaker_id_nonempty_n,speaker_id_unique_n,attack_id_nonempty_n,attack_id_unique_n,source_id_nonempty_n,source_id_unique_n
ASVspoof2019_LA,0,5000,5000,5000,5000,67,0,0,5000,5000
ASVspoof2019_LA,1,5000,5000,5000,5000,48,0,0,5000,5000
ASVspoof2021_LA,0,5000,5000,4999,5000,67,5000,1,5000,5000
ASVspoof2021_LA,1,5000,5000,5000,5000,48,5000,13,5000,5000
ASVspoof2021_DF,0,5000,5000,5000,5000,93,5000,1,5000,5000
ASVspoof2021_DF,1,5000,5000,5000,5000,62,5000,110,5000,5000
InTheWild,0,19963,19963,19962,19963,54,0,0,19963,19963
InTheWild,1,11816,11816,11816,11816,54,0,0,11816,11816
ASVspoof5,0,5000,5000,5000,5000,737,5000,1,5000,5000
ASVspoof5,1,5000,5000,5000,5000,367,5000,16,5000,5000
