view,feature,class_label,model,available_core_dataset_rows,finite_rho_core_dataset_rows,positive_direction_datasets,negative_direction_datasets,same_direction_dataset_count,adopted_direction,missing_core_datasets,nonfinite_rho_core_datasets,complete_core_matrix,directionally_stable_4_of_5,both_confirmation_q_le_alpha,both_confirmation_match_direction,model_meets_portable_subcriterion
deterministic_crop,clipping_fraction,0,Spectra-AASIST,5,5,4,1,4,positive,,,True,True,False,False,False
deterministic_crop,clipping_fraction,0,AASIST,5,5,5,0,5,positive,,,True,True,True,True,True
deterministic_crop,clipping_fraction,0,Res2TCNGuard,5,5,4,1,4,positive,,,True,True,True,False,False
deterministic_crop,clipping_fraction,0,RawTFNet,5,5,5,0,5,positive,,,True,True,True,True,True
deterministic_crop,clipping_fraction,0,WhisperMFCCMesoNet,5,5,2,3,3,negative,,,True,False,True,False,False
deterministic_crop,clipping_fraction,0,W2V2-AASIST,5,5,5,0,5,positive,,,True,True,False,True,False
deterministic_crop,clipping_fraction,0,XLSR-SLS,5,5,5,0,5,positive,,,True,True,True,True,True
deterministic_crop,clipping_fraction,0,RawBMamba,5,5,4,1,4,positive,,,True,True,True,True,True
deterministic_crop,clipping_fraction,1,Spectra-AASIST,5,5,3,2,3,positive,,,True,False,True,False,False
deterministic_crop,clipping_fraction,1,AASIST,5,5,4,1,4,positive,,,True,True,False,True,False
deterministic_crop,clipping_fraction,1,Res2TCNGuard,5,5,3,2,3,positive,,,True,False,False,False,False
deterministic_crop,clipping_fraction,1,RawTFNet,5,5,4,1,4,positive,,,True,True,False,True,False
deterministic_crop,clipping_fraction,1,WhisperMFCCMesoNet,5,5,2,3,3,negative,,,True,False,False,False,False
deterministic_crop,clipping_fraction,1,W2V2-AASIST,5,5,3,2,3,positive,,,True,False,False,True,False
deterministic_crop,clipping_fraction,1,XLSR-SLS,5,5,3,2,3,positive,,,True,False,False,False,False
deterministic_crop,clipping_fraction,1,RawBMamba,5,5,5,0,5,positive,,,True,True,False,True,False
deterministic_crop,cpp_proxy_db,0,Spectra-AASIST,5,5,1,4,4,negative,,,True,True,True,True,True
deterministic_crop,cpp_proxy_db,0,AASIST,5,5,4,1,4,positive,,,True,True,True,False,False
deterministic_crop,cpp_proxy_db,0,Res2TCNGuard,5,5,4,1,4,positive,,,True,True,True,False,False
deterministic_crop,cpp_proxy_db,0,RawTFNet,5,5,3,2,3,positive,,,True,False,True,False,False
deterministic_crop,cpp_proxy_db,0,WhisperMFCCMesoNet,5,5,0,5,5,negative,,,True,True,True,True,True
deterministic_crop,cpp_proxy_db,0,W2V2-AASIST,5,5,3,2,3,positive,,,True,False,True,False,False
deterministic_crop,cpp_proxy_db,0,XLSR-SLS,5,5,3,2,3,positive,,,True,False,False,False,False
deterministic_crop,cpp_proxy_db,0,RawBMamba,5,5,2,3,3,negative,,,True,False,True,True,False
deterministic_crop,cpp_proxy_db,1,Spectra-AASIST,5,5,2,3,3,negative,,,True,False,True,True,False
deterministic_crop,cpp_proxy_db,1,AASIST,5,5,3,2,3,positive,,,True,False,True,False,False
deterministic_crop,cpp_proxy_db,1,Res2TCNGuard,5,5,3,2,3,positive,,,True,False,True,False,False
deterministic_crop,cpp_proxy_db,1,RawTFNet,5,5,3,2,3,positive,,,True,False,True,False,False
deterministic_crop,cpp_proxy_db,1,WhisperMFCCMesoNet,5,5,1,4,4,negative,,,True,True,True,True,True
